,Index,Time Stamp
535,84935,2021-02-11 00:18:42.210
536,84936,2021-02-11 00:18:42.220
537,84937,2021-02-11 00:18:42.230
538,84938,2021-02-11 00:18:42.240
539,84939,2021-02-11 00:18:42.250
540,85140,2021-02-11 00:18:44.260
541,85141,2021-02-11 00:18:44.270
542,85142,2021-02-11 00:18:44.280
543,85143,2021-02-11 00:18:44.290
544,85144,2021-02-11 00:18:44.300
545,85145,2021-02-11 00:18:44.310
546,85146,2021-02-11 00:18:44.320
547,85147,2021-02-11 00:18:44.330
548,85148,2021-02-11 00:18:44.340
549,85149,2021-02-11 00:18:44.350
550,85150,2021-02-11 00:18:44.360
551,85151,2021-02-11 00:18:44.370
552,85152,2021-02-11 00:18:44.380
553,85153,2021-02-11 00:18:44.390
554,85154,2021-02-11 00:18:44.400
555,85155,2021-02-11 00:18:44.410
556,85156,2021-02-11 00:18:44.420
557,85157,2021-02-11 00:18:44.430
558,85158,2021-02-11 00:18:44.440
559,85159,2021-02-11 00:18:44.450
560,85300,2021-02-11 00:18:45.860
561,85301,2021-02-11 00:18:45.870
562,85302,2021-02-11 00:18:45.880
563,85303,2021-02-11 00:18:45.890
564,85304,2021-02-11 00:18:45.900
565,85305,2021-02-11 00:18:45.910
566,85306,2021-02-11 00:18:45.920
567,85307,2021-02-11 00:18:45.930
568,85308,2021-02-11 00:18:45.940
569,85309,2021-02-11 00:18:45.950
570,85310,2021-02-11 00:18:45.960
571,85311,2021-02-11 00:18:45.970
572,85312,2021-02-11 00:18:45.980
573,85313,2021-02-11 00:18:45.990
574,85314,2021-02-11 00:18:46.000
575,85315,2021-02-11 00:18:46.010
576,85316,2021-02-11 00:18:46.020
577,85317,2021-02-11 00:18:46.030
578,85318,2021-02-11 00:18:46.040
579,85319,2021-02-11 00:18:46.050
580,85420,2021-02-11 00:18:47.060
581,85421,2021-02-11 00:18:47.070
582,85422,2021-02-11 00:18:47.080
583,85423,2021-02-11 00:18:47.090
584,85424,2021-02-11 00:18:47.100
585,85425,2021-02-11 00:18:47.110
586,85426,2021-02-11 00:18:47.120
587,85427,2021-02-11 00:18:47.130
588,85428,2021-02-11 00:18:47.140
589,85429,2021-02-11 00:18:47.150
590,85430,2021-02-11 00:18:47.160
591,85431,2021-02-11 00:18:47.170
592,85432,2021-02-11 00:18:47.180
593,85433,2021-02-11 00:18:47.190
594,85434,2021-02-11 00:18:47.200
595,85435,2021-02-11 00:18:47.210
596,85436,2021-02-11 00:18:47.220
597,85437,2021-02-11 00:18:47.230
598,85438,2021-02-11 00:18:47.240
599,85439,2021-02-11 00:18:47.250
600,95840,2021-02-11 00:20:31.270
601,95841,2021-02-11 00:20:31.280
602,95842,2021-02-11 00:20:31.290
603,95843,2021-02-11 00:20:31.300
604,95844,2021-02-11 00:20:31.310
605,95845,2021-02-11 00:20:31.320
606,95846,2021-02-11 00:20:31.330
607,95847,2021-02-11 00:20:31.340
608,95848,2021-02-11 00:20:31.350
609,95849,2021-02-11 00:20:31.360
610,95850,2021-02-11 00:20:31.370
611,95851,2021-02-11 00:20:31.380
612,95852,2021-02-11 00:20:31.390
613,95853,2021-02-11 00:20:31.400
614,95854,2021-02-11 00:20:31.410
615,95855,2021-02-11 00:20:31.420
616,95856,2021-02-11 00:20:31.430
617,95857,2021-02-11 00:20:31.440
618,95858,2021-02-11 00:20:31.450
619,95859,2021-02-11 00:20:31.460
620,95880,2021-02-11 00:20:31.670
621,95881,2021-02-11 00:20:31.680
622,95882,2021-02-11 00:20:31.690
623,95883,2021-02-11 00:20:31.700
624,95884,2021-02-11 00:20:31.710
625,95885,2021-02-11 00:20:31.720
626,95886,2021-02-11 00:20:31.730
627,95887,2021-02-11 00:20:31.740
628,95888,2021-02-11 00:20:31.750
629,95889,2021-02-11 00:20:31.760
630,95890,2021-02-11 00:20:31.770
631,95891,2021-02-11 00:20:31.780
632,95892,2021-02-11 00:20:31.790
633,95893,2021-02-11 00:20:31.800
634,95894,2021-02-11 00:20:31.810
635,95895,2021-02-11 00:20:31.820
636,95896,2021-02-11 00:20:31.830
637,95897,2021-02-11 00:20:31.840
638,95898,2021-02-11 00:20:31.850
639,95899,2021-02-11 00:20:31.860
640,95980,2021-02-11 00:20:32.670
641,95981,2021-02-11 00:20:32.680
642,95982,2021-02-11 00:20:32.690
643,95983,2021-02-11 00:20:32.700
644,95984,2021-02-11 00:20:32.710
645,95985,2021-02-11 00:20:32.720
646,95986,2021-02-11 00:20:32.730
647,95987,2021-02-11 00:20:32.740
648,95988,2021-02-11 00:20:32.750
649,95989,2021-02-11 00:20:32.760
650,95990,2021-02-11 00:20:32.770
651,95991,2021-02-11 00:20:32.780
652,95992,2021-02-11 00:20:32.790
653,95993,2021-02-11 00:20:32.800
654,95994,2021-02-11 00:20:32.810
655,95995,2021-02-11 00:20:32.820
656,95996,2021-02-11 00:20:32.830
657,95997,2021-02-11 00:20:32.840
658,95998,2021-02-11 00:20:32.850
659,95999,2021-02-11 00:20:32.860
660,96000,2021-02-11 00:20:32.870
661,96001,2021-02-11 00:20:32.880
662,96002,2021-02-11 00:20:32.890
663,96003,2021-02-11 00:20:32.900
664,96004,2021-02-11 00:20:32.910
665,96005,2021-02-11 00:20:32.920
666,96006,2021-02-11 00:20:32.930
667,96007,2021-02-11 00:20:32.940
668,96008,2021-02-11 00:20:32.950
669,96009,2021-02-11 00:20:32.960
670,96010,2021-02-11 00:20:32.970
671,96011,2021-02-11 00:20:32.980
672,96012,2021-02-11 00:20:32.990
673,96013,2021-02-11 00:20:33.000
674,96014,2021-02-11 00:20:33.010
675,96015,2021-02-11 00:20:33.020
676,96016,2021-02-11 00:20:33.030
677,96017,2021-02-11 00:20:33.040
678,96018,2021-02-11 00:20:33.050
679,96019,2021-02-11 00:20:33.060
680,96040,2021-02-11 00:20:33.270
681,96041,2021-02-11 00:20:33.280
682,96042,2021-02-11 00:20:33.290
683,96043,2021-02-11 00:20:33.300
684,96044,2021-02-11 00:20:33.310
685,96045,2021-02-11 00:20:33.320
686,96046,2021-02-11 00:20:33.330
687,96047,2021-02-11 00:20:33.340
688,96048,2021-02-11 00:20:33.350
689,96049,2021-02-11 00:20:33.360
690,96050,2021-02-11 00:20:33.370
691,96051,2021-02-11 00:20:33.380
692,96052,2021-02-11 00:20:33.390
693,96053,2021-02-11 00:20:33.400
694,96054,2021-02-11 00:20:33.410
695,96055,2021-02-11 00:20:33.420
696,96056,2021-02-11 00:20:33.430
